Name,Price,Publisher,Date of Release,Category,Age Rating,Actual_size,Date
GoTube - Video Downl,1.0,DarkAnn,2021-03-30,Entertainment,12.0,22.44,Tuesday
Battery Percentage I,1.0,Soleon Innovation,2020-03-11,Utilities & tools,3.0,604.0,Wednesday
PhotoScape X,1.0,Mooii Tech,2017-12-23,Photo & video,3.0,500.54,Saturday
Wikipedia,1.0,Wikimedia Foundation,2012-05-19,Books & reference  >  Reference,12.0,1.07,Saturday
River Roll On PREMIU,1.0,Microsoft Corporation,2020-06-11,Personalization  >  Themes,3.0,17.37,Thursday
RoundedTB,1.0,TorchGM,2021-06-01,Personalization,3.0,8.83,Tuesday
Feem v4 - Share File,1.0,FeePerfect AG,2016-02-28,Utilities & tools,3.0,13.13,Sunday
freda,1.0,Turnipsoft,2010-10-15,Books & reference  >  E-reader,3.0,62.1,Friday
VidMate Converter,1.0,Le Thanh Dat,2021-09-16,Photo & video,12.0,6.31,Thursday
Street Views PREMIUM,1.0,Microsoft Corporation,2019-12-18,Personalization  >  Themes,3.0,22.84,Wednesday
Microsoft Remote Des,1.0,Microsoft Corporation,2012-05-10,Productivity,3.0,59.55,Thursday
TubeMate - YouTube V,1.0,YT Mate Studio,2021-09-15,Music,12.0,22.75,Wednesday
Photo Editor | Polar,1.0,Polarr,2015-10-12,Photo & video,3.0,657.14,Monday
CamScanner PC,1.0,IntSig International Holding Limited,2021-01-11,Productivity,3.0,180.22,Monday
Bluetooth Audio Rece,1.0,Mark Smirnov,2020-05-26,Music,3.0,25.2,Tuesday
PDF Reader Pro - Fre,1.0,"PDF Technologies, Inc.",2019-01-08,Business  >  File management,3.0,92.96,Tuesday
Ink Draft,1.0,Microsoft Corporation,2018-03-28,Personalization  >  Fonts,3.0,164.0,Wednesday
Epson Print and Scan,1.0,SEIKO EPSON CORPORATION,2013-09-18,Photo & video,3.0,352.76,Wednesday
HP Cloud Recovery To,1.0,HP Inc.,2018-09-22,Utilities & tools,3.0,18.1,Saturday
Python 3.7,1.0,Python Software Foundation,2018-12-12,Developer tools  >  Development kits,3.0,95.78,Wednesday
Unigram - Telegram f,1.0,"Unigram, Inc.",2017-03-23,Social,12.0,94.03,Thursday
Zip-Unzip,1.0,"Wuhan Net Power Technology Co., Ltd",2020-04-28,Utilities & tools  >  File managers,3.0,93.36,Tuesday
NCERT,1.0,Posh Technologies Pvt. Ltd.,2014-05-07,Education,3.0,2.56,Wednesday
YouTuBrowser,1.0,UGO1,2019-02-08,Photo & video,12.0,152.05,Friday
Mountain Light PREMI,1.0,Microsoft Corporation,2019-11-06,Personalization  >  Themes,3.0,11.25,Wednesday
Focus To-Do: Pomodor,1.0,Super Element,2017-11-01,Productivity,3.0,29.45,Wednesday
World National Parks,1.0,Microsoft Corporation,2018-03-21,Personalization  >  Themes,3.0,15.22,Wednesday
Live Wallpaper by Gi,1.0,Giantapp Studio,2018-11-05,Entertainment,3.0,300.13,Monday
Miracast for PC,1.0,Smart TV Applications,2021-07-19,Business,3.0,26.06,Monday
Company Portal,1.0,Microsoft Corporation,2012-12-17,Business,3.0,46.76,Monday
Cortana,1.0,Microsoft Corporation,2018-10-10,Productivity,3.0,49.8,Wednesday
Complete Anatomy 202,1.0,3D4Medical,2016-12-06,Medical,3.0,2000.0,Tuesday
Wooden Walkways PREM,1.0,Microsoft Corporation,2020-04-07,Personalization  >  Themes,3.0,29.99,Tuesday
Wallpaper Studio 10:,2724.0,WalkInApps,2020-11-04,Personalization,3.0,36.82,Wednesday
VidTuber - YT Downlo,1.0,Musically World,2021-03-23,Music,3.0,22.98,Tuesday
Ford Mustang RTR For,1.0,Microsoft Corporation,2019-06-22,Personalization  >  Themes,3.0,13.07,Saturday
Audiobooks from Audi,1.0,Audible Inc,2012-06-19,Books & reference  >  E-reader,12.0,64.66,Tuesday
CnX Media Player - 4,1.0,PATHWIN SOFTWARE PRIVATE LIMITED,2015-09-23,Photo & video,3.0,360.95,Wednesday
Mail,1.0,eyacker.com,2013-10-01,Productivity,3.0,21.77,Tuesday
TUF Aura Core,1.0,ASUSTeK COMPUTER INC.,2018-09-21,Utilities & tools  >  File managers,3.0,23.37,Friday
Movie Maker : Free V,1.0,Videopix,2016-06-14,Photo & video,3.0,153.18,Tuesday
World Oceans Day PRE,1.0,Microsoft Corporation,2020-05-05,Personalization  >  Themes,3.0,28.51,Tuesday
moneycontrol.com,1.0,Network18 Media and Investments Limited,2014-06-23,Personal finance,12.0,20.71,Monday
Kodi,1.0,XBMC Foundation,2016-08-02,Photo & video,3.0,172.7,Tuesday
Photo Image Viewer,1.0,"Wuhan Net Power Technology Co., Ltd",2020-11-27,Multimedia design  >  Photo & video production,3.0,3.04,Friday
imo desktop free vid,1.0,IMO.IM,2016-06-08,Social,3.0,19.69,Wednesday
Easy Typing Practice,1.0,Dolphin Systems,2017-06-12,Education  >  Study guides,3.0,45.19,Monday
Camera Alternative,1.0,Dolphin Systems,2017-06-12,Education  >  Study guides,3.0,45.19,Monday
3D Builder,1.0,Dolphin Systems,2017-06-12,Education  >  Study guides,3.0,45.19,Monday
Xbox Accessories,1.0,Dolphin Systems,2017-06-12,Education  >  Study guides,3.0,45.19,Monday
HEIF Image Extension,1.0,Dolphin Systems,2017-06-12,Education  >  Study guides,3.0,45.19,Monday
Concepts,1.0,Dolphin Systems,2017-06-12,Education  >  Study guides,3.0,45.19,Monday
